"id_transacao","compl_transacao","tipo_registro","data_geracao_arquivo","grupo_indicador","cod_indicador","valor_indicador","num_casas_decimais","reserva"
146,1,1,2014-12-12,"indicadores-gerais","DGB-W1",1.5699,7,""
147,1,1,2014-12-11,"indicadores-gerais","DI1",11.59,2,""
148,1,1,2014-12-12,"indicadores-gerais","DI1",11.59,2,""
149,1,1,2014-12-11,"indicadores-gerais","DI1-RE",11.57,2,""
150,1,1,2014-12-12,"indicadores-gerais","DI1-RE",11.59,2,""
151,1,1,2014-12-11,"indicadores-gerais","DMX-W1",14.69125,7,""
152,1,1,2014-12-12,"indicadores-gerais","DMX-W1",14.77575,7,""
153,1,1,2014-12-11,"indicadores-gerais","DNZ-W1",0.77965,7,""
154,1,1,2014-12-12,"indicadores-gerais","DNZ-W1",0.77715,7,""
155,1,1,2014-12-11,"indicadores-gerais","DOL-CL",2.6433,4,""
156,1,1,2014-12-12,"indicadores-gerais","DOL-CL",2.6645,4,""
157,1,1,2014-12-11,"indicadores-gerais","DOL-D1",2.6433,4,""
158,1,1,2014-12-12,"indicadores-gerais","DOL-D1",2.6616,4,""
159,1,1,2014-12-11,"indicadores-gerais","DOL-D2",2.6444,4,""
160,1,1,2014-12-12,"indicadores-gerais","DOL-D2",2.6627,4,""
161,1,1,2014-12-11,"indicadores-gerais","DOL-MN",2.6183,4,""
162,1,1,2014-12-12,"indicadores-gerais","DOL-MN",2.6524,4,""
163,1,1,2014-12-11,"indicadores-gerais","DOL-MX",2.6359,4,""
164,1,1,2014-12-12,"indicadores-gerais","DOL-MX",2.6604,4,""
165,1,1,2014-12-11,"indicadores-gerais","DOL-PA",2.6183,4,""
166,1,1,2014-12-12,"indicadores-gerais","DOL-PA",2.6544,4,""
167,1,1,2014-12-11,"indicadores-gerais","DOL-T1",2.6271,4,""
168,1,1,2014-12-12,"indicadores-gerais","DOL-T1",2.6558,4,""
169,1,1,2014-12-11,"indicadores-gerais","DOL-T2",2.6265,4,""
170,1,1,2014-12-12,"indicadores-gerais","DOL-T2",2.6552,4,""
171,1,1,2014-12-11,"indicadores-gerais","DOL-T3",2.6268,4,""
172,1,1,2014-12-12,"indicadores-gerais","DOL-T3",2.6555,4,""
173,1,1,2014-12-11,"indicadores-gerais","DTR-W1",2.27695,7,""
174,1,1,2014-12-12,"indicadores-gerais","DTR-W1",2.3003,7,""
175,1,1,2014-12-11,"indicadores-gerais","DZA-W1",11.6489,7,""
176,1,1,2014-12-12,"indicadores-gerais","DZA-W1",11.66865,7,""
177,1,1,2014-12-11,"indicadores-gerais","EDO-B1",1.2428,7,""
178,1,1,2014-12-12,"indicadores-gerais","EDO-B1",1.245,7,""
179,1,1,2014-12-11,"indicadores-gerais","EDO-W1",1.23825,7,""
180,1,1,2014-12-12,"indicadores-gerais","EDO-W1",1.2462,7,""
181,1,1,2014-12-11,"indicadores-gerais","EUR",1.2428,4,""
182,1,1,2014-12-12,"indicadores-gerais","EUR",1.245,4,""
183,1,1,2014-12-11,"indicadores-gerais","FIN-MN",47.8,2,""
184,1,1,2014-12-12,"indicadores-gerais","FIN-MN",46.78,2,""
185,1,1,2014-12-11,"indicadores-gerais","FIN-MX",47.94,2,""
186,1,1,2014-12-12,"indicadores-gerais","FIN-MX",46.81,2,""
187,1,1,2014-12-11,"indicadores-gerais","FIN-PA",47.94,2,""
188,1,1,2014-12-12,"indicadores-gerais","FIN-PA",46.78,2,""
189,1,1,2014-12-11,"indicadores-gerais","FIN-PF",47.8,2,""
190,1,1,2014-12-12,"indicadores-gerais","FIN-PF",46.81,2,""
191,1,1,2014-12-11,"indicadores-gerais","FIN-PM",47.82,2,""
192,1,1,2014-12-12,"indicadores-gerais","FIN-PM",46.8,2,""
193,1,1,2014-12-11,"indicadores-gerais","FTS-BR",42438,0,""
194,1,1,2014-12-12,"indicadores-gerais","FTS-BR",42400,0,""
195,1,1,2014-12-11,"indicadores-gerais","FXV",15.276,3,""
